config,holdout_workload,case_id,workload,stressor,stressor_family,label,diagnosis_block_mode,diagnosis_selected_blocks,diagnosis_selected_block_idxs,diagnosis_peak_block_idx,diagnosis_peak_block_score,diagnosis_focus_score_mean,diagnosis_focus_score_max,dominant_tier,tier0_contrib,tier1_alt_contrib,tier2_contrib,tier0_share,tier1_alt_share,tier2_share,dominant_mechanism,compute_contrib,compute_share,memory_io_contrib,memory_io_share,thermal_power_contrib,thermal_power_share,scheduler_runtime_contrib,scheduler_runtime_share,platform_pressure_contrib,platform_pressure_share,top_feature_1,top_feature_score_1,top_feature_2,top_feature_score_2,top_feature_3,top_feature_score_3,top_feature_4,top_feature_score_4,top_feature_5,top_feature_score_5,top_mechanism_1,top_mechanism_score_1,top_mechanism_2,top_mechanism_score_2,top_mechanism_3,top_mechanism_score_3,feature_profile
tier0,ALL,PY_AI__NOMINAL,PY_AI,NOMINAL,benign,0,peak_window,5,"219,220,221,222,223",219,0.0054519566066088265,0.005413695678673535,0.0054519566066088265,tier0,0.002648624289792912,0.0,0.0,1.0000000000000002,0.0,0.0,compute,0.0012265122063878145,0.46307519383344176,0.001093553843623259,0.41287616663394755,0.0,0.0,0.00018107784100653967,0.06836675239457901,0.00014748039877529823,0.05568188713803169,tier0:cpu_times_idle_pct,0.00029685934857002897,tier0:cpu_pct,0.00015046052784924735,tier0:cpu_times_user_pct,0.0001455920857784922,tier0:net_sent_Bps,0.00013150227743587004,tier0:net_sent_Pps,0.00011963695409488044,compute,0.0012265122063878145,memory_io,0.001093553843623259,scheduler_runtime,0.00018107784100653967,full
tier0,ALL,PY_AI__TLB,PY_AI,TLB,memory_pressure,1,peak_window,5,"728,729,730,731,732",728,0.007781908230854351,0.007744097728386468,0.007781908230854351,tier0,0.004411727369859963,0.0,0.0,1.0,0.0,0.0,memory_io,0.0015771035411948212,0.35747982796246125,0.002448039698950185,0.5548936944006789,0.0,0.0,0.0002238907660550483,0.05074900311941875,0.00016269336365990812,0.036877474517441076,tier0:cpu_times_idle_pct,0.00026761108761190206,tier0:swap_sin_bytes,0.00021609230443170703,tier0:net_sent_Pps,0.0001984887033497444,tier0:net_recv_Pps,0.00019171490387889887,tier0:net_recv_Bps,0.00018743783039887752,memory_io,0.002448039698950185,compute,0.0015771035411948212,scheduler_runtime,0.0002238907660550483,full
tier0,ALL,PY_STATS__ATOMIC,PY_STATS,ATOMIC,synchronization,1,post_persist,5,"0,1,2,3,4",939,0.025022546555610252,0.022416339229525083,0.02246352537945153,tier0,0.010977619314171946,0.0,0.0,1.0000000000000002,0.0,0.0,memory_io,0.002428922545303916,0.22126132049124833,0.006998934181695753,0.6375639363500456,0.0,0.0,0.0011268764923924183,0.10265217440521346,0.00042288609477985446,0.038522568753492366,tier0:interrupts,0.0008947145011225812,tier0:mem_wired_bytes,0.000820472119181081,tier0:mem_used_bytes,0.0007942365403499242,tier0:mem_active_bytes,0.0007727204026755755,tier0:net_sent_Bps,0.0006504613446240002,memory_io,0.006998934181695753,compute,0.002428922545303916,scheduler_runtime,0.0011268764923924183,full
tier0,ALL,PY_STATS__BRANCH,PY_STATS,BRANCH,control_flow,1,post_persist,5,"749,750,751,752,753",939,0.018769108262413816,0.017637310589173515,0.017660339904356104,tier0,0.008205470387092973,0.0,0.0,1.0,0.0,0.0,memory_io,0.002028373530449143,0.24719771503163676,0.005034785775690914,0.6135889276513048,0.0,0.0,0.0007181065988794671,0.08751559203833496,0.0004242044820734498,0.0516977652787236,tier0:interrupts,0.0006134506172610195,tier0:mem_wired_bytes,0.0005617320318695622,tier0:mem_active_bytes,0.000543114368777091,tier0:mem_used_bytes,0.0005136228828510226,tier0:net_sent_Bps,0.0004971401264856698,memory_io,0.005034785775690914,compute,0.002028373530449143,scheduler_runtime,0.0007181065988794671,full
tier0,ALL,PY_STATS__CACHE,PY_STATS,CACHE,memory_pressure,1,peak_window_backfill,3,"937,938,939",938,0.0115445188960381,0.011528690409750575,0.0115445188960381,tier0,0.005485626637319927,0.0,0.0,0.9999999999999997,0.0,0.0,memory_io,0.0017130937504875982,0.312287704531884,0.002779691774529672,0.5067227425976852,0.0,0.0,0.0003787077789499713,0.0690363752380701,0.0006141333333526866,0.11195317763236053,tier0:net_sent_Bps,0.00032536932547013093,tier0:interrupts,0.00031298208542831975,tier0:mem_wired_bytes,0.0002949509463046839,tier0:mem_active_bytes,0.00027992428337194236,tier0:mem_used_bytes,0.00027654757156347903,memory_io,0.002779691774529672,compute,0.0017130937504875982,platform_pressure,0.0006141333333526866,full
tier0,ALL,PY_STATS__MEMBW,PY_STATS,MEMBW,memory_pressure,1,post_persist,5,"0,1,2,3,4",936,0.02215677995937443,0.019309892999385042,0.019379957814316156,tier0,0.010180981548090837,0.0,0.0,0.9999999999999998,0.0,0.0,memory_io,0.0021912735589098703,0.21523205287812186,0.0062497276661337715,0.6138629793809748,0.0,0.0,0.0010267443768645882,0.10084925230584724,0.0007132359461826085,0.07005571543505608,tier0:interrupts,0.0007720662734849689,tier0:mem_wired_bytes,0.0007123567951744398,tier0:mem_active_bytes,0.000700639658871051,tier0:mem_used_bytes,0.0006283791948757701,tier0:swap_sin_bytes,0.00061839629076768,memory_io,0.0062497276661337715,compute,0.0021912735589098703,scheduler_runtime,0.0010267443768645882,full
tier0,ALL,PY_STATS__NOMINAL,PY_STATS,NOMINAL,benign,0,peak_window,5,"907,908,909,910,911",907,0.005583073030861115,0.005520460149760898,0.005583073030861115,tier0,0.0022910744190146287,0.0,0.0,1.0,0.0,0.0,compute,0.0014202135471982093,0.6198897492858529,0.000683185807604101,0.2981945073167607,0.0,0.0,0.00011096263632693526,0.04843257617736369,7.671242788538331e-05,0.033483167220022765,tier0:cpu_times_idle_pct,0.00027299838099076654,tier0:net_sent_Bps,0.0001432102887669457,tier0:net_sent_Pps,0.00011626102070590524,tier0:cpu11_pct,0.00010205205689713051,tier0:cpu9_pct,0.00010195207409818468,compute,0.0014202135471982093,memory_io,0.000683185807604101,scheduler_runtime,0.00011096263632693526,full
tier0,ALL,PY_STATS__TLB,PY_STATS,TLB,memory_pressure,1,peak_window,5,"884,885,886,887,888",884,0.01415022886523322,0.014105923796897082,0.01415022886523322,tier0,0.006434908175821624,0.0,0.0,1.0000000000000002,0.0,0.0,memory_io,0.0018664275268963208,0.29004726654984647,0.003652946206584539,0.5676765086268108,0.0,0.0,0.00048645999337286553,0.07559703729738976,0.00042907444896789747,0.0666791875259529,tier0:net_sent_Bps,0.00040376661210964846,tier0:interrupts,0.00038271517321376614,tier0:swap_sin_bytes,0.00035424204946696443,tier0:mem_wired_bytes,0.0003491681938526031,tier0:mem_active_bytes,0.00034761071468728487,memory_io,0.003652946206584539,compute,0.0018664275268963208,scheduler_runtime,0.00048645999337286553,full
tier0,ALL,VIDEO_SW__ATOMIC,VIDEO_SW,ATOMIC,synchronization,1,peak_window,5,"26,27,28,29,30",26,0.012614713468750649,0.012574301443243192,0.012614713468750649,tier0,0.005264243415967574,0.0,0.0,0.9999999999999999,0.0,0.0,memory_io,0.0016211080398153906,0.3079470137908562,0.0029733626058135202,0.5648224010300656,0.0,0.0,0.0004566391432251006,0.08674354644012405,0.00021313362711356378,0.0404870387389542,tier0:mem_used_bytes,0.0005304154628476242,tier0:mem_wired_bytes,0.00033732952049722657,tier0:interrupts,0.0003346236163053497,tier0:cpu_times_idle_pct,0.0002519943566316021,tier0:mem_free_bytes,0.00024863269567010164,memory_io,0.0029733626058135202,compute,0.0016211080398153906,scheduler_runtime,0.0004566391432251006,full
tier0,ALL,VIDEO_SW__BRANCH,VIDEO_SW,BRANCH,control_flow,1,post_persist,5,"773,774,775,776,777",798,0.022472249507690417,0.019896056293468245,0.02089848743177666,tier0,0.0067743720675834795,0.0,0.0,0.9999999999999999,0.0,0.0,memory_io,0.0018547301777360192,0.2737862873831831,0.004157325897965062,0.6136843173788123,0.0,0.0,0.00046658586890041765,0.06887514654429895,0.0002957301229819824,0.04365424869370568,tier0:mem_used_bytes,0.00040104541414255466,tier0:net_sent_Bps,0.00038728355528094534,tier0:mem_free_bytes,0.0003513013197534308,tier0:interrupts,0.000305946980866507,tier0:cpu_times_idle_pct,0.0003009412581269981,memory_io,0.004157325897965062,compute,0.0018547301777360192,scheduler_runtime,0.00046658586890041765,full
