config,holdout_workload,case_id,workload,stressor,label,dominant_tier,tier0_contrib,tier1_alt_contrib,tier2_contrib,tier0_share,tier1_alt_share,tier2_share,dominant_mechanism,compute_contrib,compute_share,memory_io_contrib,memory_io_share,thermal_power_contrib,thermal_power_share,scheduler_runtime_contrib,scheduler_runtime_share,platform_pressure_contrib,platform_pressure_share,top_feature_1,top_feature_score_1,top_feature_2,top_feature_score_2,top_feature_3,top_feature_score_3,top_feature_4,top_feature_score_4,top_feature_5,top_feature_score_5,top_mechanism_1,top_mechanism_score_1,top_mechanism_2,top_mechanism_score_2,top_mechanism_3,top_mechanism_score_3,feature_profile
tier0,ALL,PY_AI__NOMINAL,PY_AI,NOMINAL,0,tier0,0.0034257057528336763,0.0,0.0,1.0,0.0,0.0,memory_io,0.001226512207467048,0.3580319782142705,0.0014518325406717681,0.4238053835974794,0.0,0.0,0.0004853956346879965,0.14169215621817105,0.0002619653700068642,0.07647048197007919,tier0:cpu_times_idle_pct,0.00029685934882951466,tier0:cpu_pct,0.0001504605279813866,tier0:cpu_times_user_pct,0.00014559208590545647,tier0:net_sent_Bps,0.00013150227755115087,tier0:net_sent_Pps,0.00011963695420024393,memory_io,0.0014518325406717681,compute,0.001226512207467048,scheduler_runtime,0.0004853956346879965,mixed
tier0,ALL,PY_AI__TLB,PY_AI,TLB,1,tier0,0.006446435398846172,0.0,0.0,0.9999999999999998,0.0,0.0,memory_io,0.0015771035426060992,0.24464738185205112,0.003356201748151712,0.5206290826636419,0.0,0.0,0.0008219345923066897,0.12750218399052057,0.0006911955157816714,0.1072213514937862,tier0:uptime_s,0.0005285021519569334,tier0:soft_interrupts,0.0002757942011857793,tier0:cpu_times_idle_pct,0.00026761108784742065,tier0:swap_percent,0.0002609810479772244,tier0:swap_free_bytes,0.0002539126296002656,memory_io,0.003356201748151712,compute,0.0015771035426060992,scheduler_runtime,0.0008219345923066897,mixed
tier0,ALL,PY_STATS__ATOMIC,PY_STATS,ATOMIC,1,tier0,0.023222625919974458,0.0,0.0,1.0,0.0,0.0,memory_io,0.002428922547811079,0.10459293260724198,0.009910990795172924,0.42678165808321405,0.0,0.0,0.004511353592796156,0.19426543786832517,0.006371358984194297,0.27435997144121865,tier0:uptime_s,0.005948472889151848,tier0:soft_interrupts,0.0013608073870287948,tier0:syscalls,0.0012356299615559356,tier0:mem_inactive_bytes,0.0012296110823081642,tier0:mem_percent,0.0009958898887451023,memory_io,0.009910990795172924,platform_pressure,0.006371358984194297,scheduler_runtime,0.004511353592796156,mixed
tier0,ALL,PY_STATS__BRANCH,PY_STATS,BRANCH,1,tier0,0.016404907076717993,0.0,0.0,1.0,0.0,0.0,memory_io,0.0020283735324168575,0.12364431708946072,0.007193564442891078,0.43850077353380784,0.0,0.0,0.003151701109375526,0.1921194124804554,0.004031267992034529,0.2457354968962759,tier0:uptime_s,0.003607063509660947,tier0:syscalls,0.0008412032558739328,tier0:mem_inactive_bytes,0.0008309155508844285,tier0:mem_free_bytes,0.0008114131110536024,tier0:ctx_switches,0.0008069365402793679,memory_io,0.007193564442891078,platform_pressure,0.004031267992034529,scheduler_runtime,0.003151701109375526,mixed
tier0,ALL,PY_STATS__CACHE,PY_STATS,CACHE,1,tier0,0.008854270859704772,0.0,0.0,1.0,0.0,0.0,memory_io,0.0017130937520717748,0.1934765469924753,0.003963084562872674,0.4475901658834972,0.0,0.0,0.0015382699881154615,0.17373197776409022,0.0016398225566448626,0.18520130935993742,tier0:uptime_s,0.001025689222701387,tier0:mem_free_bytes,0.0005873821333890182,tier0:ctx_switches,0.0005344201794703263,tier0:syscalls,0.0003720787459990994,tier0:mem_inactive_bytes,0.00036391413641857697,memory_io,0.003963084562872674,compute,0.0017130937520717748,platform_pressure,0.0016398225566448626,mixed
tier0,ALL,PY_STATS__MEMBW,PY_STATS,MEMBW,1,tier0,0.020481579923281732,0.0,0.0,0.9999999999999998,0.0,0.0,memory_io,0.0021912735611340256,0.10698752583257361,0.008860431921512533,0.4326049042457286,0.0,0.0,0.003998446367828118,0.1952215787456426,0.005431428072807058,0.2651859911760551,tier0:uptime_s,0.004718192126060311,tier0:soft_interrupts,0.0011523612735656994,tier0:syscalls,0.0010315967478062844,tier0:mem_inactive_bytes,0.00102714134325466,tier0:mem_percent,0.000817991527599263,memory_io,0.008860431921512533,platform_pressure,0.005431428072807058,scheduler_runtime,0.003998446367828118,mixed
tier0,ALL,PY_STATS__NOMINAL,PY_STATS,NOMINAL,0,tier0,0.002804812263745686,0.0,0.0,1.0,0.0,0.0,compute,0.0014202135484414694,0.5063488800297976,0.0009088254743334284,0.32402363825938835,0.0,0.0,0.0003110786193577546,0.1109088916141306,0.00016469462161303357,0.05871859009668339,tier0:cpu_times_idle_pct,0.00027299838123072845,tier0:net_sent_Bps,0.00014321028889216256,tier0:mem_free_bytes,0.00013390931218599885,tier0:net_sent_Pps,0.00011626102080730987,tier0:ctx_switches,0.00010715602376679807,compute,0.0014202135484414694,memory_io,0.0009088254743334284,scheduler_runtime,0.0003110786193577546,mixed
tier0,ALL,PY_STATS__TLB,PY_STATS,TLB,1,tier0,0.012458283779696006,0.0,0.0,1.0,0.0,0.0,memory_io,0.0018664275286908465,0.14981417679156359,0.005142167672106317,0.41275088632085977,0.0,0.0,0.0022782014262033036,0.18286639367745192,0.0031714871526955387,0.25456854321012473,tier0:uptime_s,0.002742412703399398,tier0:mem_free_bytes,0.0006588816439639175,tier0:ctx_switches,0.0006431862972682796,tier0:soft_interrupts,0.0006296057468251416,tier0:syscalls,0.0005189493882113151,memory_io,0.005142167672106317,platform_pressure,0.0031714871526955387,scheduler_runtime,0.0022782014262033036,mixed
tier0,ALL,VIDEO_SW__ATOMIC,VIDEO_SW,ATOMIC,1,tier0,0.008481016631451644,0.0,0.0,1.0,0.0,0.0,memory_io,0.0016211080412680376,0.19114548546647084,0.00474726231532112,0.5597515630043707,0.0,0.0,0.0016285796831527943,0.19202646969388626,0.00048406659170969097,0.057076481835272176,tier0:mem_free_bytes,0.0007103791310471646,tier0:ctx_switches,0.0006052796602301107,tier0:mem_percent,0.0005836287084694948,tier0:mem_available_bytes,0.000582781450219631,tier0:mem_used_bytes,0.000530415463268829,memory_io,0.00474726231532112,scheduler_runtime,0.0016285796831527943,compute,0.0016211080412680376,mixed
tier0,ALL,VIDEO_SW__BRANCH,VIDEO_SW,BRANCH,1,tier0,0.01224699897499239,0.0,0.0,1.0000000000000002,0.0,0.0,memory_io,0.0018547301792025469,0.15144364615280778,0.006056129219081639,0.49449903861736894,0.0,0.0,0.0025220618611534033,0.20593305072559387,0.0018140777155547976,0.1481242645042293,tier0:uptime_s,0.0015183475923579005,tier0:mem_free_bytes,0.0010037180573125822,tier0:ctx_switches,0.0009165938148254541,tier0:soft_interrupts,0.0007040283551888302,tier0:swap_used_bytes,0.00044768001933861946,memory_io,0.006056129219081639,scheduler_runtime,0.0025220618611534033,compute,0.0018547301792025469,mixed
